City_ID,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
81,rabo de peixe,37.8,-25.5833,13.73,67,40,3.6,PT,1709005828
82,jamestown,42.097,-79.2353,11.77,77,95,0.45,US,1709005699
83,orkney,-26.9802,26.6727,15.54,91,9,3.41,ZA,1709005828
84,fort mcmurray,56.7268,-111.381,-22.23,70,0,1.54,CA,1709005531
85,utrik,11.2278,169.8474,27.01,78,22,8.15,MH,1709005828
86,margaret river,-33.95,115.0667,21.0,44,0,7.39,AU,1709005829
87,thompson,55.7435,-97.8558,-25.91,58,20,2.06,CA,1709005606
88,howrah,22.5892,88.3103,25.61,64,75,1.54,IN,1709005534
89,kalevala,65.2,31.1667,1.16,98,100,5.81,RU,1709005829
90,gamba,-2.65,10.0,25.82,89,88,1.86,GA,1709005829
91,chonchi,-42.6128,-73.8092,13.56,97,98,0.85,CL,1709005829
92,punta arenas,-53.15,-70.9167,12.06,87,75,3.09,CL,1709005778
93,george town,5.4112,100.3354,32.97,46,20,5.14,MY,1709005536
94,cidreira,-30.1811,-50.2056,23.11,97,100,5.58,BR,1709005830
95,galveston,29.3669,-94.9669,21.77,90,75,3.13,US,1709005413
96,naze,28.3667,129.4833,13.51,67,98,4.81,JP,1709005830
97,kodiak,57.79,-152.4072,1.73,80,100,9.26,US,1709005830
98,puerto natales,-51.7236,-72.4875,11.01,87,84,0.77,CL,1709005830
99,abepura,-2.6333,140.5833,28.45,79,40,2.57,ID,1709005830
100,guatire,10.4762,-66.5427,20.84,97,74,0.7,VE,1709005831
101,nova sintra,14.8667,-24.7167,19.51,76,24,6.86,CV,1709005831
102,touros,-5.1989,-35.4608,25.4,89,61,2.53,BR,1709005639
103,port alfred,-33.5906,26.891,17.95,58,87,1.51,ZA,1709005831
104,brezina,33.0989,1.2608,6.36,63,21,10.07,DZ,1709005831
105,odda,60.0691,6.5457,-1.25,98,100,3.02,NO,1709005831
106,smithers,54.7804,-127.1743,-11.82,56,75,4.63,CA,1709005831
107,sitka,57.0531,-135.33,-2.06,40,0,6.69,US,1709005831
108,pocao de pedras,-4.6667,-44.85,22.67,100,100,1.09,BR,1709005832
109,nuevitas,21.5453,-77.2644,22.09,78,62,4.58,CU,1709005832
110,vilyuchinsk,52.9306,158.4028,-7.85,55,0,2.69,RU,1709005832
111,constantia,44.1833,28.65,5.39,91,100,4.13,RO,1709005832
112,awjilah,29.1081,21.2869,10.93,46,0,1.56,LY,1709005832
113,pingzhuang,42.0372,119.2889,1.27,46,100,3.66,CN,1709005833
114,asbe teferi,9.0833,40.8667,17.91,29,97,0.91,ET,1709005833
115,chegdomyn,51.1167,133.0167,-12.97,81,93,1.25,RU,1709005833
116,saldanha,-33.0117,17.9442,19.03,64,0,4.16,ZA,1709005833
117,tolanaro,-25.0319,46.9987,26.04,94,40,6.17,MG,1709005833
118,haiku-pauwela,20.9219,-156.3051,23.01,76,20,10.8,US,1709005837
119,luderitz,-26.6481,15.1594,15.86,84,0,0.77,NA,1709005837
120,yellowknife,62.456,-114.3525,-27.47,83,0,2.57,CA,1709005698
121,barra de santo antonio,-9.4047,-35.5072,26.6,81,90,1.98,BR,1709005837
122,fortuna,40.5982,-124.1573,8.14,86,20,4.12,US,1709005838
123,codrington,-38.2667,141.9667,26.3,34,30,5.79,AU,1709005838
